Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
10614920,1,1,0,0,1,1,0,0,8.72,0
06812880,9,0,9,0,0,0,0,0,0.1,1
SC581044,7,7,0,0,0,0,0,0,0.1,1
05312588,8,0,8,0,0,0,0,0,0.34174258350852604,1
SC232772,15,1,14,0,0,0,0,0,0.1,1
CE000584,0,0,0,0,0,0,0,0,0.1,0
SC109880,24,3,21,0,2,2,0,0,2.5258883868604225,1
10445388,1,1,0,0,1,1,0,0,0.1,0
03357260,95,11,84,0,1,1,0,1,0.1,1
SC248112,4,2,2,0,1,1,0,0,10467.0,1
08205021,35,16,19,0,0,0,0,0,0.1,1
03389645,24,6,18,0,0,0,0,0,0.051667594827052785,1
07288006,1,1,0,0,1,1,0,0,333.47,0
09712418,2,0,2,0,2,2,0,2,0.1,1
05145336,20,5,15,0,1,1,0,1,0.1,1
04115048,7,1,6,0,1,1,0,0,47.25,1
02610689,17,2,15,0,1,1,0,1,0.1,1
SC557592,1,0,1,0,1,1,0,0,0.1,0
FC029517,7,3,4,0,0,0,0,0,0.1,1
08658047,26,0,26,0,0,0,0,0,0.0,0
SC128215,14,4,10,0,1,1,0,1,0.1,1
05663771,7,2,5,0,0,0,0,0,0.0,1
SC064386,7,0,7,0,0,0,0,0,0.1,1
IP031485,0,0,0,0,0,0,0,0,0.1,0
03765744,21,0,21,0,0,0,0,0,0.1,1
07738648,2,1,1,0,1,1,0,0,306.66,0
07575625,1,1,0,0,0,0,0,0,0.1,0
09487057,2,2,0,0,2,2,0,0,881.71,0
01852669,3,2,1,0,2,2,0,0,0.0,0
SC044822,82,17,65,0,0,0,0,0,0.1,1
07108603,4,1,3,0,1,1,0,0,35611.18,1
07615142,8,4,4,0,4,3,1,0,0.1,0
07061087,4,0,4,0,0,0,0,0,-9.509164969450103,0
OC325054,88,2,86,0,0,0,0,0,0.1,1
00513286,10,3,7,0,2,2,0,1,0.1,1
06450452,3,3,0,0,2,2,0,0,0.0,0
SC137656,13,2,11,0,1,1,0,1,0.1,1
02984735,14,4,10,0,0,0,0,0,0.1,1
05175320,5,3,2,0,2,2,0,0,365.607,0
SC152300,16,0,16,0,0,0,0,0,0.1,1
07705256,1,0,1,0,0,0,0,0,0.1,1
09308733,5,0,5,0,0,0,0,0,-347.64874551971326,1
01966211,2,2,0,0,1,1,0,0,0.0,1
01188468,37,7,30,0,1,1,0,1,0.1,1
SC269349,37,16,21,0,0,0,0,0,0.1,1
03758786,17,6,11,0,0,0,0,0,0.1,1
