Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
06167928,13,4,9,0,2,2,0,2,1
06168151,7,2,5,0,0,0,0,0,1
06169938,20,4,16,0,2,2,0,2,1
06170611,32,7,25,0,1,1,0,1,1
06172154,6,0,6,0,0,0,0,0,1
06176778,8,0,8,0,0,0,0,0,1
06176780,8,0,8,0,0,0,0,0,1
06179375,7,0,7,0,0,0,0,0,1
06179972,14,0,14,0,1,1,0,1,1
06182982,37,8,29,0,0,0,0,0,0
06185898,5,3,2,0,1,1,0,1,1
06186766,3,0,3,0,0,0,0,0,0
06189455,11,3,8,0,1,1,0,1,1
06190306,27,9,18,0,0,0,0,0,1
06190393,27,9,18,0,0,0,0,0,1
06191044,5,3,2,0,2,2,0,0,0
06191598,9,4,5,0,1,1,0,0,0
06192136,7,2,5,0,2,2,0,0,1
06192615,23,9,14,0,0,0,0,0,0
06194411,12,6,6,0,0,0,0,0,0
06195648,9,0,9,0,0,0,0,0,1
06195812,14,6,8,0,1,1,0,1,1
06196036,6,0,6,0,4,4,0,0,0
06197703,13,2,11,0,4,3,1,2,1
06198255,14,1,13,0,0,0,0,0,1
06198281,15,1,14,0,1,1,0,1,1
06198327,15,0,15,0,0,0,0,0,1
06198378,15,0,15,0,0,0,0,0,1
06198400,15,0,15,0,0,0,0,0,1
06198404,16,0,16,0,1,1,0,1,1
06198627,3,1,2,0,2,2,0,0,0
06201302,9,3,6,0,0,0,0,0,1
06201407,3,1,2,0,1,1,0,0,0
06201419,5,2,3,0,0,0,0,0,1
06205779,7,2,5,0,0,0,0,0,0
06205795,17,4,13,0,2,2,0,2,1
06207095,5,1,4,0,2,1,1,0,1
06208888,7,4,3,0,5,3,2,0,1
06209458,15,4,11,0,2,2,0,2,1
06211124,5,0,5,0,0,0,0,0,1
06212648,2,1,1,0,1,1,0,0,0
06212760,3,0,3,0,0,0,0,0,1
06214446,2,2,0,0,1,1,0,0,0
06215825,4,2,2,0,1,1,0,0,0
06216137,16,4,12,0,0,0,0,0,0
06216389,4,1,3,0,1,1,0,0,0
06216905,24,4,20,0,1,1,0,1,1
06218984,19,4,15,0,2,2,0,2,1
06219625,9,6,3,0,1,1,0,1,1
03880267,8,0,8,0,0,0,0,0,1
03880306,29,0,29,0,0,0,0,0,1
03880363,4,2,2,0,1,1,0,0,1
03880908,5,3,2,0,1,1,0,1,0
03881286,4,2,2,0,2,2,0,0,0
03881406,10,3,7,0,1,1,0,1,1
03882115,9,3,6,0,3,3,0,0,1
03882134,11,2,9,0,1,1,0,1,1
03882652,5,0,5,0,0,0,0,0,1
03882663,5,3,2,0,2,2,0,0,1
03882679,9,1,8,0,1,1,0,0,1
03882927,7,2,5,0,1,1,0,0,0
03883492,5,3,2,0,2,2,0,0,1
03883677,15,5,10,0,2,2,0,0,0
03884659,36,10,26,0,0,0,0,0,0
03884737,5,3,2,0,1,1,0,0,0
03884933,8,4,4,0,1,1,0,0,1
03884981,26,2,24,0,1,1,0,1,1
03885293,3,1,2,0,2,2,0,0,0
03885838,20,4,16,0,0,0,0,0,0
03886084,12,3,9,0,1,1,0,1,1
03886106,7,4,3,0,0,0,0,0,0
03886236,40,14,26,0,0,0,0,0,0
03886811,6,0,6,0,2,2,0,0,0
03888219,8,0,8,0,0,0,0,0,1
03888636,24,4,20,0,0,0,0,0,1
03888770,8,0,8,0,0,0,0,0,1
03889425,10,0,10,0,0,0,0,0,1
03889552,38,7,31,0,1,1,0,1,1
03890301,7,0,7,0,0,0,0,0,1
03891123,29,5,24,0,0,0,0,0,0
03892047,5,2,3,0,1,1,0,1,1
03893656,4,0,4,0,0,0,0,0,0
03894136,5,0,5,0,1,1,0,0,0
03894827,11,3,8,0,1,1,0,0,1
03894828,11,3,8,0,1,1,0,0,1
03895063,24,3,21,0,1,1,0,1,1
03895376,4,0,4,0,0,0,0,0,1
03895701,4,2,2,0,1,1,0,0,1
