Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
10911041,2,2,0,0,2,2,0,0,0
10912488,7,4,3,0,2,2,0,0,1
10912845,1,1,0,0,1,1,0,0,0
10914843,1,1,0,0,1,1,0,0,0
10915816,2,0,2,0,2,2,0,0,0
10916023,4,4,0,0,2,2,0,0,0
10916246,1,1,0,0,1,1,0,0,0
10917290,2,1,1,0,2,1,1,1,0
10917368,1,1,0,0,1,1,0,0,0
10917391,2,1,1,0,2,1,1,2,0
10918855,11,5,6,0,0,0,0,0,0
10919076,1,0,1,0,1,1,0,1,0
10922145,1,1,0,0,1,1,0,0,0
10923027,1,1,0,0,1,1,0,0,0
10923437,4,4,0,0,1,1,0,1,1
10924542,5,5,0,0,2,2,0,0,1
10924547,5,5,0,0,2,2,0,0,1
10924565,5,5,0,0,2,2,0,0,1
10924576,5,5,0,0,2,2,0,0,1
10924587,5,5,0,0,2,2,0,0,1
10924611,5,5,0,0,2,2,0,0,1
10924643,5,5,0,0,2,2,0,0,1
10924660,5,5,0,0,2,2,0,0,1
10924674,5,5,0,0,2,2,0,0,1
10925188,5,5,0,0,0,0,0,0,0
10925445,2,2,0,0,1,1,0,0,0
10925975,1,1,0,0,1,1,0,0,0
10926207,5,5,0,0,2,2,0,0,1
10926428,1,1,0,0,1,1,0,0,0
10927407,1,0,1,0,1,1,0,0,0
10929532,7,7,0,0,0,0,0,0,0
10929780,2,2,0,0,2,2,0,1,0
10931415,1,1,0,0,1,1,0,0,0
10932702,1,1,0,0,1,1,0,0,0
10934240,2,1,1,0,1,1,0,0,0
10934275,1,0,1,0,1,1,0,0,0
10935230,11,5,6,0,2,2,0,0,0
10935504,1,0,1,0,1,1,0,0,0
10937553,2,0,2,0,1,1,0,0,0
10942160,1,1,0,0,1,1,0,0,1
10943199,1,1,0,0,1,1,0,0,0
10943425,3,3,0,0,1,1,0,0,0
10943441,1,1,0,0,1,1,0,0,0
10943646,1,1,0,0,1,1,0,0,0
10944258,2,2,0,0,2,2,0,0,0
10944814,2,0,2,0,2,2,0,0,0
10945167,4,3,1,0,1,1,0,1,0
10945535,4,4,0,0,1,1,0,1,1
10946918,5,5,0,0,1,1,0,1,1
10948115,3,3,0,0,1,1,0,0,0
10950350,1,1,0,0,1,1,0,0,0
10950608,4,3,1,0,0,0,0,0,1
10951737,5,5,0,0,0,0,0,0,0
10951909,4,0,4,0,1,1,0,1,1
10952334,3,3,0,0,2,2,0,1,1
10952419,3,3,0,0,1,1,0,1,0
10952709,4,4,0,0,1,1,0,0,0
10955433,1,1,0,0,1,1,0,1,1
10955661,3,3,0,0,1,1,0,0,1
10955796,4,4,0,0,1,1,0,0,0
10956884,1,0,1,0,1,1,0,0,0
10957107,2,1,1,0,3,1,2,0,0
10958026,1,1,0,0,0,0,0,0,0
10958042,3,2,1,0,1,1,0,1,0
10958547,4,2,2,0,2,2,0,0,0
10958898,1,1,0,0,1,1,0,0,0
10959427,1,1,0,0,1,1,0,0,0
10961634,1,0,1,0,1,1,0,0,0
10962061,2,1,1,0,1,1,0,0,0
10963229,2,2,0,0,2,2,0,0,0
10964014,3,2,1,0,2,2,0,1,0
10964129,2,2,0,0,1,1,0,1,0
10964325,1,1,0,0,1,1,0,0,0
10964370,1,0,1,0,1,1,0,0,0
10967059,7,6,1,0,1,1,0,0,1
10967931,1,1,0,0,1,1,0,0,1
10970772,2,2,0,0,2,2,0,0,0
10972915,3,1,2,0,3,1,2,0,0
10973198,2,2,0,0,2,2,0,0,0
10973378,2,2,0,0,1,1,0,1,1
10974710,7,6,1,0,1,1,0,1,1
10974937,2,2,0,0,1,1,0,0,0
10975304,4,3,1,0,2,2,0,0,0
10975726,2,2,0,0,1,1,0,0,0
10976098,2,0,2,0,1,0,1,0,0
10976672,2,2,0,0,2,2,0,0,0
10977342,2,2,0,0,1,1,0,1,1
10978767,2,1,1,0,2,1,1,0,0
10979006,1,0,1,0,1,1,0,0,0
10979689,1,1,0,0,1,1,0,0,0
10982039,1,1,0,0,1,1,0,0,0
10982181,1,1,0,0,0,0,0,0,0
10982714,4,4,0,0,1,1,0,1,0
10983867,3,1,2,0,2,2,0,0,0
10983939,2,2,0,0,0,0,0,0,1
10984981,1,1,0,0,1,1,0,0,0
10985117,13,3,10,0,1,1,0,1,1
10985310,2,0,2,0,2,2,0,0,0
10985874,2,2,0,0,2,2,0,0,0
10986527,3,1,2,0,3,1,2,0,0
10986644,1,0,1,0,1,1,0,0,0
10987644,1,1,0,0,1,1,0,0,0
10987837,1,1,0,0,1,1,0,0,0
10988655,3,2,1,0,3,2,1,0,0
10989395,3,3,0,0,1,1,0,0,0
10990191,2,2,0,0,1,1,0,0,0
10990754,3,2,1,0,1,1,0,0,0
10991207,1,0,1,0,1,1,0,0,0
10991406,2,0,2,0,1,1,0,0,0
10991499,2,0,2,0,1,0,1,0,0
10991611,7,5,2,0,2,2,0,1,1
10991835,7,5,2,0,1,1,0,1,1
10995363,1,1,0,0,1,1,0,0,0
10996295,3,3,0,0,0,0,0,0,0
10997643,1,1,0,0,1,1,0,0,0
10998993,2,0,2,0,1,1,0,0,0
10999309,1,1,0,0,1,1,0,0,0
11000155,1,1,0,0,1,1,0,0,0
11000364,2,2,0,0,1,1,0,0,0
11000585,2,1,1,0,2,1,1,0,0
11001365,2,2,0,0,1,1,0,0,0
11001712,2,2,0,0,1,1,0,0,0
11002318,1,1,0,0,1,1,0,0,0
11003310,1,1,0,0,1,1,0,0,0
11005332,4,2,2,0,2,1,1,2,0
11006175,2,2,0,0,1,1,0,1,0
11006461,11,8,3,0,0,0,0,0,0
11007620,2,0,2,0,2,2,0,0,0
11008275,1,0,1,0,1,1,0,0,0
11010111,1,0,1,0,1,1,0,0,0
11012955,2,2,0,0,2,2,0,0,0
11016070,1,1,0,0,1,1,0,0,0
11016981,4,2,2,0,2,1,1,1,0
11017245,1,1,0,0,1,1,0,0,0
11017261,1,1,0,0,1,1,0,0,0
11018286,10,3,7,0,5,1,4,1,0
11019043,2,2,0,0,1,1,0,0,0
11020071,2,2,0,0,2,2,0,0,0
11020394,2,0,2,0,2,2,0,0,0
11020556,2,2,0,0,2,2,0,0,0
11021079,1,1,0,0,1,1,0,0,0
11021937,1,1,0,0,1,1,0,0,1
11022680,6,3,3,0,4,3,1,0,0
11025314,1,1,0,0,1,1,0,0,0
11025566,2,2,0,0,2,2,0,0,1
11026838,3,1,2,0,3,1,2,0,0
11026959,1,1,0,0,1,1,0,0,0
11027292,2,2,0,0,0,0,0,0,0
11029583,4,4,0,0,1,1,0,1,1
11031415,2,2,0,0,0,0,0,0,0
11032241,4,4,0,0,0,0,0,0,1
11033059,1,1,0,0,0,0,0,0,0
11033542,1,1,0,0,1,1,0,0,0
11033553,3,3,0,0,1,1,0,1,0
11033570,6,3,3,0,0,0,0,0,0
11035713,3,3,0,0,2,1,1,0,0
11037043,2,0,2,0,3,1,2,0,0
11038146,1,0,1,0,1,1,0,0,0
11040911,3,2,1,0,1,1,0,0,0
11040946,1,1,0,0,1,1,0,0,0
11041836,1,1,0,0,1,1,0,0,0
11043332,2,2,0,0,1,1,0,0,0
11045515,1,0,1,0,1,1,0,0,0
11045877,4,4,0,0,2,1,1,2,0
11046093,2,2,0,0,1,1,0,0,0
11046391,1,1,0,0,1,1,0,0,0
11048056,1,1,0,0,0,0,0,0,0
11048146,1,1,0,0,1,1,0,0,0
11048536,1,0,1,0,1,1,0,0,0
11049046,1,1,0,0,1,1,0,0,0
11051693,2,2,0,0,2,2,0,0,0
11052156,3,3,0,0,2,2,0,0,1
11053102,1,1,0,0,1,1,0,0,0
11053647,1,0,1,0,1,1,0,0,0
11054226,1,0,1,0,1,1,0,0,0
11054427,5,5,0,0,2,2,0,2,0
11055829,1,1,0,0,1,1,0,1,1
11056928,2,2,0,0,1,1,0,0,0
11057135,2,2,0,0,2,2,0,0,0
11057634,2,0,2,0,1,1,0,0,0
11058296,3,3,0,0,1,1,0,1,1
11059958,2,1,1,0,1,1,0,0,1
11060766,5,4,1,0,0,0,0,0,0
11061284,12,12,0,0,0,0,0,0,0
11061940,1,1,0,0,1,1,0,0,0
11062399,3,3,0,0,2,2,0,0,0
11062707,2,2,0,0,1,1,0,1,1
11064904,2,2,0,0,1,1,0,1,1
11064966,2,2,0,0,1,1,0,0,1
11065011,2,2,0,0,1,1,0,1,1
11066476,8,5,3,0,1,1,0,1,1
11066677,1,1,0,0,1,1,0,1,0
11067387,3,3,0,0,2,2,0,0,0
11069399,2,2,0,0,1,1,0,0,0
11070483,1,1,0,0,1,1,0,0,0
11070616,3,3,0,0,2,2,0,0,0
11072294,2,2,0,0,1,1,0,0,0
11072963,2,2,0,0,2,2,0,0,0
11074077,3,3,0,0,4,1,3,1,1
11075810,2,2,0,0,2,2,0,0,0
11076996,1,1,0,0,1,1,0,0,0
11078363,1,1,0,0,1,1,0,0,0
11078756,1,1,0,0,1,1,0,0,0
11078824,2,0,2,0,1,1,0,0,0
11079179,2,2,0,0,1,1,0,1,1
11079387,2,2,0,0,1,1,0,1,1
09030063,3,2,1,0,0,0,0,0,1
09030133,11,3,8,0,2,2,0,2,1
09032235,4,0,4,0,1,1,0,0,1
09033182,1,1,0,0,1,1,0,0,0
09033569,1,1,0,0,1,1,0,0,0
09033925,2,2,0,0,2,2,0,0,0
09034299,9,1,8,0,1,1,0,0,0
09035654,3,3,0,0,2,2,0,0,0
09036393,2,0,2,0,0,0,0,0,0
09038024,3,1,2,0,0,0,0,0,1
09038364,2,2,0,0,1,1,0,0,0
09039188,2,0,2,0,2,2,0,0,0
09039532,4,0,4,0,0,0,0,0,0
09039827,8,8,0,2,2,1,1,2,0
09040461,2,0,2,0,1,1,0,0,0
09043334,3,3,0,0,1,1,0,1,0
09044416,6,5,1,0,2,2,0,0,1
09044431,6,5,1,0,2,2,0,0,1
09044503,6,5,1,0,2,2,0,0,1
09044542,6,5,1,0,2,2,0,0,1
09044548,6,5,1,0,2,2,0,0,1
09044556,8,5,3,0,2,2,0,0,1
09044570,6,5,1,0,2,2,0,0,1
09044609,6,5,1,0,2,2,0,0,1
09044611,6,5,1,0,2,2,0,0,1
09044618,6,5,1,0,2,2,0,0,1
09044645,6,0,6,0,0,0,0,0,1
09046599,8,4,4,0,2,2,0,2,1
09049226,3,2,1,0,1,1,0,0,0
09049843,1,1,0,0,1,1,0,0,0
09050507,1,1,0,0,1,1,0,0,0
09051215,1,0,1,0,0,0,0,0,0
09051475,4,0,4,0,0,0,0,0,1
09052305,3,2,1,0,3,2,1,0,0
09052429,1,0,1,0,0,0,0,0,0
09053025,1,1,0,0,1,1,0,0,0
09054038,1,1,0,0,1,1,0,0,0
09056288,1,1,0,0,1,1,0,0,0
09056764,1,1,0,0,1,1,0,0,0
09056915,1,0,1,0,0,0,0,0,0
09057600,1,1,0,0,1,1,0,0,0
09058943,1,1,0,0,1,1,0,0,0
09061147,1,1,0,0,1,1,0,0,0
09061230,2,2,0,0,2,2,0,0,0
09061410,2,2,0,0,2,2,0,0,0
09062447,7,4,3,0,1,1,0,1,0
09062808,1,1,0,0,2,1,1,0,0
09063616,1,1,0,0,1,1,0,0,0
09063867,1,0,1,0,0,0,0,0,0
09064099,3,0,3,0,1,1,0,0,0
09064671,2,2,0,0,2,2,0,0,0
09065220,9,3,6,0,0,0,0,0,0
09066937,2,0,2,0,0,0,0,0,1
09066967,2,0,2,0,0,0,0,0,1
09067032,2,0,2,0,0,0,0,0,1
09067690,6,1,5,0,3,1,2,0,0
09068058,4,3,1,0,1,1,0,0,0
09069122,13,7,6,0,0,0,0,0,0
09069877,8,0,8,0,5,1,4,0,0
09071340,3,0,3,0,0,0,0,0,1
09072206,4,2,2,0,1,1,0,0,0
09073411,2,2,0,0,2,2,0,0,0
09073571,2,2,0,0,2,2,0,0,0
09075560,12,5,7,0,2,2,0,0,1
09075593,9,7,2,0,1,1,0,1,1
09075658,11,7,4,0,0,0,0,0,0
09077495,11,5,6,0,2,2,0,2,1
09077880,1,0,1,0,0,0,0,0,1
09078071,4,1,3,0,1,1,0,0,0
09079901,3,2,1,0,2,2,0,0,0
09080180,10,5,5,0,1,1,0,1,1
09080222,7,3,4,0,1,1,0,1,1
09080819,8,2,6,0,0,0,0,0,0
09081098,2,0,2,0,0,0,0,0,0
09081101,4,2,2,0,2,2,0,0,0
09081161,3,2,1,0,3,3,0,0,0
09082232,3,2,1,0,3,1,2,3,0
09082338,10,6,4,0,1,1,0,1,1
09083904,5,5,0,0,0,0,0,0,0
09084066,18,10,8,0,0,0,0,0,1
09086461,3,2,1,0,2,1,1,0,1
09086536,3,3,0,0,2,2,0,0,0
09086796,1,1,0,0,1,1,0,0,0
09086908,3,3,0,0,2,2,0,0,0
09088446,7,3,4,0,1,1,0,1,0
09089701,3,0,3,0,0,0,0,0,0
09090223,6,2,4,0,4,1,3,4,1
09090448,6,2,4,0,2,1,1,2,1
09090452,6,2,4,0,1,1,0,1,1
09090594,1,1,0,0,1,1,0,0,0
09091944,18,6,12,0,1,1,0,1,1
09094829,1,1,0,0,1,1,0,0,0
09095146,1,1,0,0,1,1,0,0,0
09095991,1,0,1,0,0,0,0,0,0
09098445,7,3,4,0,3,1,2,2,1
09099533,2,2,0,0,1,1,0,0,0
09099972,2,2,0,0,2,2,0,0,0
09100870,3,0,3,0,1,1,0,0,1
09101743,1,0,1,0,0,0,0,0,0
09101981,2,0,2,0,1,1,0,0,0
09102435,5,2,3,0,0,0,0,0,1
09102436,5,2,3,0,0,0,0,0,1
09104001,1,0,1,0,0,0,0,0,0
09104211,1,1,0,0,1,1,0,0,0
09106115,1,1,0,0,1,1,0,0,0
09108533,2,2,0,0,1,1,0,0,0
09109364,2,2,0,0,1,1,0,1,1
09112135,1,1,0,0,1,1,0,0,0
09112245,2,0,2,0,0,0,0,0,0
09113696,1,1,0,0,2,2,0,1,0
09114167,1,1,0,0,1,1,0,0,0
09122058,2,0,2,0,1,1,0,0,0
09122208,2,0,2,0,1,1,0,0,0
09123466,4,2,2,0,1,1,0,0,0
09125376,2,0,2,0,1,1,0,0,0
09125426,6,5,1,0,1,1,0,1,1
09125898,1,1,0,0,2,2,0,0,0
09125965,2,2,0,0,2,2,0,0,0
09126010,13,10,3,0,0,0,0,0,0
09127390,4,3,1,0,1,1,0,1,1
09127436,7,5,2,0,1,1,0,1,1
09127721,1,1,0,0,1,1,0,0,0
09127749,6,0,6,0,4,1,3,1,0
09127759,5,2,3,0,3,3,0,1,0
09128201,5,2,3,0,3,3,0,1,0
09130381,7,6,1,0,0,0,0,0,0
09130543,2,0,2,0,0,0,0,0,1
09131035,2,2,0,0,0,0,0,0,0
09131811,2,1,1,0,1,1,0,0,0
09132565,3,1,2,0,1,1,0,0,0
09136178,2,2,0,0,1,1,0,0,0
09136408,7,3,4,0,2,2,0,0,0
09136556,22,10,12,0,0,0,0,0,0
09136616,8,1,7,0,2,1,1,0,0
09137257,3,3,0,0,2,2,0,0,0
09137960,1,1,0,0,1,1,0,0,0
09138209,2,2,0,0,2,2,0,0,0
09139394,4,2,2,0,2,2,0,0,0
09141973,1,1,0,0,1,1,0,0,0
09142567,3,2,1,0,1,1,0,0,1
09142869,3,2,1,0,1,1,0,0,0
09145229,2,2,0,0,2,2,0,0,0
09145482,1,1,0,0,2,2,0,0,0
09146323,3,0,3,0,0,0,0,0,1
09147059,11,6,5,0,0,0,0,0,0
09147268,8,0,8,0,3,1,2,0,0
09147387,3,2,1,0,1,1,0,0,0
09148081,3,3,0,0,3,3,0,0,0
09148134,6,5,1,0,1,1,0,1,1
09148310,4,4,0,0,1,1,0,0,1
09148896,2,0,2,0,2,2,0,0,0
09149177,1,1,0,0,1,1,0,0,0
09149419,1,0,1,0,0,0,0,0,0
09152652,3,3,0,0,2,2,0,0,0
09153785,4,3,1,0,2,2,0,1,0
09154420,2,0,2,0,1,1,0,1,1
09154707,4,4,0,0,1,1,0,0,0
09154843,1,1,0,0,1,1,0,0,0
09155074,1,1,0,0,1,1,0,0,0
09155970,17,3,14,0,1,1,0,1,1
09155980,17,3,14,0,1,1,0,1,1
09156760,2,1,1,0,2,1,1,0,0
09157234,5,1,4,0,1,1,0,0,0
09158397,4,3,1,0,0,0,0,0,0
09158492,2,0,2,0,1,1,0,0,0
09160126,9,3,6,0,1,1,0,1,1
09161117,3,2,1,0,2,2,0,0,0
09163676,4,0,4,0,1,1,0,0,0
09164117,2,2,0,0,1,1,0,0,0
09172733,3,0,3,0,2,2,0,0,1
09173262,1,0,1,0,1,1,0,0,0
09173593,1,1,0,0,1,1,0,0,0
09176084,10,1,9,0,2,1,1,0,0
09176541,3,1,2,0,1,1,0,0,1
09177368,1,1,0,0,1,1,0,0,0
09179847,2,2,0,0,1,1,0,0,0
09181692,5,2,3,0,2,2,0,0,0
09183300,2,2,0,0,2,2,0,0,0
09185739,2,2,0,0,3,3,0,0,0
09188274,1,0,1,0,0,0,0,0,0
09190811,2,2,0,0,2,2,0,0,1
09191251,6,2,4,0,3,2,1,1,0
09192516,1,0,1,0,1,1,0,0,0
09192684,1,1,0,0,1,1,0,0,0
09192995,1,1,0,0,1,1,0,0,0
09193673,1,0,1,0,0,0,0,0,0
09194815,2,2,0,0,0,0,0,0,1
09196491,5,3,2,0,2,2,0,0,0
09197832,1,1,0,0,1,1,0,0,0
09198154,2,1,1,0,1,1,0,0,0
09198776,2,1,1,0,3,2,1,0,0
09199117,3,3,0,0,2,2,0,0,0
09199138,1,1,0,0,1,1,0,0,0
09199187,2,1,1,0,1,1,0,0,0
09202107,3,0,3,0,0,0,0,0,1
09203788,10,1,9,0,4,1,3,0,0
09205990,3,3,0,0,3,1,2,2,0
09206830,2,2,0,0,2,2,0,0,0
09208199,1,0,1,0,0,0,0,0,0
09208873,2,1,1,0,2,1,1,0,0
09209274,1,1,0,0,1,1,0,0,0
09209488,16,4,12,0,3,1,2,3,1
09210656,3,2,1,0,1,1,0,0,1
09211585,1,1,0,0,1,1,0,0,0
09214243,1,1,0,0,1,1,0,0,0
09216875,1,1,0,0,1,1,0,0,0
09217123,1,1,0,0,1,1,0,0,0
09218107,2,2,0,0,1,1,0,0,0
09220044,2,1,1,0,1,1,0,0,0
09220823,4,3,1,0,2,1,1,0,0
09221512,2,2,0,0,1,1,0,0,0
09221830,6,1,5,0,3,1,2,0,0
09223184,1,1,0,0,1,1,0,0,0
09227469,13,4,9,0,1,1,0,1,1
09228116,1,1,0,0,1,1,0,0,0
09228587,14,1,13,0,8,1,7,0,0
09229783,9,5,4,0,2,2,0,2,1
09231509,7,2,5,0,1,0,1,1,0
09231817,2,2,0,0,2,2,0,0,0
09233797,3,3,0,0,1,1,0,0,0
09234515,3,2,1,0,2,2,0,0,0
09234594,1,1,0,0,2,2,0,0,0
09234800,1,1,0,0,1,1,0,0,0
09235698,1,1,0,0,2,2,0,0,0
09236544,2,1,1,0,0,0,0,0,0
09237306,1,1,0,0,1,1,0,0,0
09237669,14,6,8,0,0,0,0,0,0
09238093,1,1,0,0,1,1,0,0,0
09239412,1,1,0,0,1,1,0,0,0
09241789,3,3,0,0,1,1,0,0,0
09242900,3,3,0,0,3,3,0,0,0
09243068,2,1,1,0,1,1,0,0,0
09243231,1,1,0,0,1,1,0,0,0
09244206,2,2,0,0,1,1,0,0,0
09245417,6,0,6,0,2,1,1,2,1
09245462,3,1,2,0,2,1,1,0,0
09245526,2,1,1,0,1,1,0,0,0
09246247,1,1,0,0,1,1,0,0,0
09247526,6,5,1,0,4,2,2,0,1
09247898,2,0,2,0,2,2,0,0,1
09251948,1,1,0,0,1,1,0,0,0
09252083,1,0,1,0,1,1,0,0,0
09252203,5,2,3,0,4,2,2,0,0
09252650,2,2,0,0,2,2,0,0,0
09253012,3,1,2,0,1,1,0,0,0
09253030,2,2,0,0,1,1,0,0,0
09254129,3,1,2,0,1,1,0,1,1
09254473,3,2,1,0,2,2,0,0,0
09254623,1,1,0,0,1,1,0,0,0
09255557,1,1,0,0,1,1,0,0,0
09255770,6,3,3,0,1,1,0,0,0
09257035,3,3,0,0,1,1,0,0,0
09257930,3,0,3,0,1,1,0,1,0
09262151,1,1,0,0,1,1,0,0,0
09263689,4,4,0,0,1,1,0,0,0
09263837,2,2,0,0,1,1,0,0,0
09264360,1,1,0,0,2,1,1,2,0
09265948,3,2,1,0,2,1,1,0,1
09267773,1,0,1,0,0,0,0,0,1
09267876,6,3,3,0,2,2,0,2,1
09268443,3,2,1,0,1,1,0,0,1
09269775,2,0,2,0,0,0,0,0,1
09270704,15,5,10,0,1,0,1,0,0
09271872,1,1,0,0,1,1,0,0,0
09276774,2,2,0,0,1,1,0,0,0
09277081,6,4,2,0,0,0,0,0,0
09278190,2,0,2,0,0,0,0,0,1
09278458,3,1,2,0,1,1,0,0,0
09280000,5,3,2,0,2,2,0,2,0
09282170,1,0,1,0,1,1,0,0,0
09283843,4,2,2,0,4,2,2,0,0
09285057,3,2,1,0,2,1,1,0,0
09286154,3,2,1,0,1,1,0,0,0
09287532,3,2,1,0,0,0,0,0,0
09290363,1,0,1,0,1,1,0,0,0
09291049,1,0,1,0,1,1,0,0,1
09293057,2,0,2,0,0,0,0,0,1
09293129,2,0,2,0,0,0,0,0,1
09293932,2,2,0,0,1,1,0,0,0
09296621,7,3,4,0,4,1,3,4,0
09298638,12,4,8,0,1,1,0,1,0
09299100,7,6,1,0,1,0,1,0,0
09301325,3,3,0,0,1,1,0,1,1
09301412,10,1,9,0,4,1,3,0,0
09302743,1,1,0,0,2,2,0,0,0
09303356,1,1,0,0,1,1,0,0,0
09304510,1,0,1,0,0,0,0,0,1
09304538,1,1,0,0,1,1,0,0,0
09305035,6,5,1,0,1,1,0,1,1
09307275,3,2,1,0,2,2,0,0,0
09307788,1,1,0,0,2,2,0,0,0
09308676,2,2,0,0,2,2,0,0,0
09311542,8,1,7,0,3,1,2,0,0
09312589,8,3,5,0,2,1,1,1,1
09313107,7,5,2,0,1,1,0,1,1
09313150,3,3,0,0,0,0,0,0,1
09313424,1,1,0,0,1,1,0,0,0
09314835,7,5,2,0,1,1,0,1,1
09314999,2,0,2,0,2,2,0,0,0
09315803,2,2,0,0,2,2,0,0,0
09316861,2,2,0,0,1,1,0,0,0
09317510,5,1,4,0,3,1,2,0,0
09319289,3,3,0,0,1,1,0,0,0
09319928,1,1,0,0,1,1,0,1,0
09320460,1,1,0,0,1,1,0,0,0
09321977,3,2,1,0,1,1,0,0,0
09322561,8,0,8,0,3,0,3,0,0
09324649,3,0,3,0,1,1,0,1,0
09326862,2,0,2,0,0,0,0,0,1
09328206,2,1,1,0,2,1,1,0,0
09329369,10,6,4,0,0,0,0,0,0
09332237,4,0,4,0,2,1,1,0,0
09333290,13,9,4,0,0,0,0,0,1
09333326,3,3,0,0,2,2,0,0,0
09334026,23,7,16,0,4,3,1,0,0
09336261,4,3,1,0,0,0,0,0,0
09336743,2,1,1,0,2,2,0,1,1
09337513,5,3,2,0,5,4,1,1,1
09338705,2,2,0,1,1,1,0,1,0
09340934,1,0,1,0,1,1,0,0,0
09341143,6,5,1,0,1,1,0,0,1
09341468,2,2,0,0,1,1,0,1,0
09341865,5,5,0,0,1,1,0,0,0
09342002,5,2,3,0,1,1,0,1,1
09342621,5,4,1,0,3,3,0,0,0
09342684,2,1,1,0,1,1,0,1,0
09342948,1,1,0,0,2,2,0,0,1
09343573,4,3,1,0,4,3,1,1,1
09345035,3,3,0,0,2,2,0,0,1
09346227,1,0,1,0,0,0,0,0,1
09348505,3,1,2,0,2,1,1,0,0
09349667,2,1,1,0,2,2,0,0,0
09351158,2,1,1,0,1,1,0,0,0
09353567,1,0,1,0,0,0,0,0,0
09354792,3,0,3,0,0,0,0,0,1
09356243,1,1,0,0,1,1,0,0,0
09357525,1,1,0,0,1,1,0,0,0
09357596,1,0,1,0,0,0,0,0,1
09358015,6,5,1,0,1,1,0,1,1
09359021,2,1,1,0,1,1,0,0,0
09359207,7,5,2,0,2,2,0,0,0
06473013,4,0,4,0,0,0,0,0,1
06473519,8,3,5,0,1,1,0,1,1
06473522,13,3,10,0,2,2,0,2,1
06473524,8,0,8,0,1,1,0,1,1
06473574,4,2,2,0,2,2,0,0,1
06473724,3,3,0,0,2,2,0,0,0
06474876,4,0,4,0,1,1,0,0,1
06475379,15,5,10,0,2,1,1,2,1
06476320,11,3,8,0,1,1,0,1,1
06476820,5,2,3,0,1,1,0,0,1
06476843,4,2,2,0,1,1,0,0,1
06476890,5,2,3,0,1,1,0,0,1
06477520,5,3,2,0,1,1,0,0,0
06477767,9,4,5,0,1,1,0,1,1
06478896,13,3,10,0,1,1,0,1,1
06479462,4,0,4,0,0,0,0,0,1
06479557,5,2,3,0,2,2,0,0,1
06480375,25,5,20,0,1,1,0,1,1
06480936,13,5,8,0,1,1,0,0,1
06481401,13,5,8,0,3,2,1,2,1
06481575,8,3,5,0,1,1,0,0,1
06482013,9,2,7,0,2,2,0,0,1
06482035,4,1,3,0,1,1,0,0,1
06482037,4,2,2,0,1,1,0,0,1
06482951,5,3,2,0,2,2,0,0,1
06483429,6,3,3,0,2,2,0,0,0
06483462,7,0,7,0,0,0,0,0,1
06484132,20,4,16,0,2,2,0,2,1
06484329,3,3,0,0,1,1,0,0,0
06484965,36,0,36,0,0,0,0,0,0
06485008,4,3,1,0,1,1,0,0,1
06486224,5,2,3,0,1,1,0,0,1
06486792,2,2,0,0,1,1,0,0,0
06486872,3,3,0,0,1,1,0,0,0
06487402,6,4,2,0,3,3,0,0,1
06487629,5,2,3,0,1,1,0,0,0
06487777,16,5,11,0,1,1,0,1,1
06487855,8,2,6,0,1,1,0,0,1
06488655,11,4,7,1,0,0,0,0,1
06488805,21,4,17,0,2,2,0,2,1
06489299,3,1,2,0,1,1,0,0,0
06489429,26,5,21,0,1,1,0,1,1
06489498,4,2,2,0,1,1,0,0,1
06491384,11,7,4,0,1,1,0,1,1
06493667,4,0,4,0,0,0,0,0,1
06494177,5,2,3,0,2,1,1,1,0
06494543,12,4,8,0,1,1,0,1,1
06494599,7,0,7,0,0,0,0,0,1
06495027,6,2,4,0,1,1,0,0,1
06495411,2,1,1,0,1,1,0,0,0
06495626,3,3,0,0,2,2,0,0,0
06496203,4,2,2,0,2,2,0,0,0
06497030,6,5,1,0,1,1,0,0,0
06497412,6,3,3,0,2,1,1,0,0
06498073,12,4,8,0,1,1,0,1,1
06498124,2,2,0,0,1,1,0,0,0
06498164,14,4,10,0,2,2,0,2,1
06498940,6,0,6,0,0,0,0,0,1
06499168,5,0,5,0,0,0,0,0,1
06500123,6,1,5,0,2,1,1,0,0
06500894,11,3,8,0,1,1,0,1,1
06501672,11,2,9,0,1,1,0,1,1
06502878,19,6,13,0,0,0,0,0,0
06503335,10,4,6,0,1,1,0,1,1
06503967,18,4,14,0,0,0,0,0,1
06504755,5,3,2,0,2,2,0,0,1
06504809,4,0,4,0,0,0,0,0,1
06504920,19,2,17,0,4,4,0,0,1
06504934,5,2,3,0,2,2,0,1,1
06504999,5,1,4,0,1,1,0,0,0
06505633,3,3,0,0,1,1,0,0,0
06505871,12,3,9,1,3,1,2,1,1
06507766,12,5,7,0,1,1,0,1,1
06508034,16,8,8,0,0,0,0,0,0
06508320,7,0,7,0,2,2,0,0,0
06510558,7,0,7,0,0,0,0,0,0
06510589,3,3,0,0,2,2,0,0,0
06510709,22,7,15,0,0,0,0,0,1
06511551,7,2,5,0,2,2,0,0,1
06511639,4,1,3,0,1,1,0,0,0
06514391,13,4,9,0,1,1,0,1,1
06514428,2,1,1,0,1,1,0,0,0
06514525,6,0,6,0,1,1,0,0,1
06514913,10,3,7,0,5,3,2,0,1
06515387,2,2,0,0,1,1,0,0,0
